,id,temp_c,precipitation_mm,depth_midpoint_previous,depth_midpoint_current,soc_g_kg_previous,soc_g_kg_current,soc_mg_ha_previous,soc_mg_ha_current,ID,Latitud,Longitud,Elevation,Slope,SLOPECLASS,Aspect,Hillshade,Rougness,CWD,PT10,avg percipitation,bd_avg,ph_avg,cat_avg,clay_avg,slit_avg,sand_avg,gridsoc_g_kg_avg,soc_change_mg,soc_change_gkg
0,1.0,21.0,1500.0,5.0,5.0,48.39333333333334,48.839999999999996,17.39,20.7,1.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,3.3099999999999987,0.44666666666665833
1,2.0,21.0,1500.0,15.0,15.0,43.580000000000005,43.373333333333335,15.57,12.54,2.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-3.030000000000001,-0.20666666666667055
2,3.0,21.0,1500.0,40.0,40.0,43.580000000000005,43.373333333333335,55.38,30.92,3.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-24.46,-0.20666666666667055
3,4.0,21.0,1500.0,80.0,80.0,36.72,35.653333333333336,36.1,36.23,4.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,0.12999999999999545,-1.0666666666666629
4,5.0,21.0,1500.0,5.0,5.0,48.39333333333334,48.839999999999996,16.28,16.43,5.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,0.14999999999999858,0.44666666666665833
5,6.0,21.0,1500.0,15.0,15.0,43.580000000000005,43.373333333333335,18.26,14.51,6.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-3.7500000000000018,-0.20666666666667055
6,7.0,21.0,1500.0,40.0,40.0,43.580000000000005,43.373333333333335,63.95,42.7,7.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-21.25,-0.20666666666667055
7,8.0,21.0,1500.0,80.0,80.0,36.72,35.653333333333336,49.2,39.42,8.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-9.780000000000001,-1.0666666666666629
8,9.0,21.0,1500.0,5.0,5.0,48.39333333333334,48.839999999999996,13.59,14.6,9.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,1.0099999999999998,0.44666666666665833
9,10.0,21.0,1500.0,15.0,15.0,43.580000000000005,43.373333333333335,15.33,15.96,10.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,0.6300000000000008,-0.20666666666667055
10,11.0,21.0,1500.0,40.0,40.0,43.580000000000005,43.373333333333335,65.19,62.16,11.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-3.030000000000001,-0.20666666666667055
11,12.0,21.0,1500.0,80.0,80.0,36.72,35.653333333333336,43.57,38.09,12.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-5.479999999999997,-1.0666666666666629
12,13.0,21.0,1500.0,5.0,5.0,48.39333333333334,48.839999999999996,16.94,9.14,13.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-7.800000000000001,0.44666666666665833
13,14.0,21.0,1500.0,15.0,15.0,43.580000000000005,43.373333333333335,13.35,7.88,14.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-5.47,-0.20666666666667055
14,15.0,21.0,1500.0,40.0,40.0,43.580000000000005,43.373333333333335,45.52,42.86,15.0,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-2.6600000000000037,-0.20666666666667055
