,temp_c,precipitation_mm,depth_midpoint_previous,depth_midpoint_current,soc_g_kg_previous,soc_mg_ha_previous,latitud,longitud,elevation,slope,slopeclass,aspect,hillshade,rougness,cwd,pt10,avg_percipitation,bd_avg,ph_avg,cat_avg,clay_avg,slit_avg,sand_avg,gridsoc_g_kg_avg,soc_change_mg
0,21.0,1500.0,5.0,5.0,48.39333333333334,17.39,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,3.3099999999999987
1,21.0,1500.0,15.0,15.0,43.580000000000005,15.57,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-3.030000000000001
2,21.0,1500.0,40.0,40.0,43.580000000000005,55.38,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-24.46
3,21.0,1500.0,80.0,80.0,36.72,36.1,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,0.12999999999999545
4,21.0,1500.0,5.0,5.0,48.39333333333334,16.28,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,0.14999999999999858
5,21.0,1500.0,15.0,15.0,43.580000000000005,18.26,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-3.7500000000000018
6,21.0,1500.0,40.0,40.0,43.580000000000005,63.95,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-21.25
7,21.0,1500.0,80.0,80.0,36.72,49.2,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-9.780000000000001
8,21.0,1500.0,5.0,5.0,48.39333333333334,13.59,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,1.0099999999999998
9,21.0,1500.0,15.0,15.0,43.580000000000005,15.33,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,0.6300000000000008
10,21.0,1500.0,40.0,40.0,43.580000000000005,65.19,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-3.030000000000001
11,21.0,1500.0,80.0,80.0,36.72,43.57,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-5.479999999999997
12,21.0,1500.0,5.0,5.0,48.39333333333334,16.94,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-7.800000000000001
13,21.0,1500.0,15.0,15.0,43.580000000000005,13.35,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-5.47
14,21.0,1500.0,40.0,40.0,43.580000000000005,45.52,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-2.6600000000000037
15,21.0,1500.0,80.0,80.0,36.72,24.66,-21.35,-47.07,622.0,90.0,3.0,329.53,158.33,33.97,-320.33,45.65,261.0,1347.5,52.0,11.0,35.5,19.5,45.0,16.5,-0.28000000000000114
16,1.2,344.0,5.0,5.0,16.0,13.5,54.03,-108.75,538.0,90.0,3.0,3.37,0.0,10.58,-295.04,38.07,16.0,929.5,64.75,35.5,18.75,32.5,48.75,77.5,3.333333333333332
17,1.2,344.0,5.0,5.0,16.0,13.5,54.03,-108.75,538.0,90.0,3.0,3.37,0.0,10.58,-295.04,38.07,16.0,929.5,64.75,35.5,18.75,32.5,48.75,77.5,3.333333333333332
18,1.2,344.0,5.0,5.0,5.9,13.5,54.03,-108.75,538.0,90.0,3.0,3.37,0.0,10.58,-295.04,38.07,16.0,929.5,64.75,35.5,18.75,32.5,48.75,77.5,3.333333333333332
19,1.2,344.0,5.0,5.0,5.9,13.5,54.03,-108.75,538.0,90.0,3.0,3.37,0.0,10.58,-295.04,38.07,16.0,929.5,64.75,35.5,18.75,32.5,48.75,77.5,3.333333333333332
20,1.2,344.0,5.0,5.0,15.0,13.5,54.03,-108.75,538.0,90.0,3.0,3.37,0.0,10.58,-295.04,38.07,16.0,929.5,64.75,35.5,18.75,32.5,48.75,77.5,3.333333333333332
21,10.0,772.0,7.5,7.5,17.5,6.743333333333333,41.25,-96.01,336.0,89.96,4.0,169.82,0.0,28.46,-362.42,37.73,19.0,1352.0,67.75,27.25,25.75,58.25,16.0,19.25,0.22000000000000064
22,10.0,772.0,22.5,22.5,9.0,6.743333333333333,41.25,-96.01,336.0,89.96,4.0,169.82,0.0,28.46,-362.42,37.73,19.0,1352.0,67.75,27.25,25.75,58.25,16.0,19.25,0.22000000000000064
23,10.0,772.0,37.5,37.5,8.0,9.6,41.25,-96.01,336.0,89.96,4.0,169.82,0.0,28.46,-362.42,37.73,19.0,1352.0,67.75,27.25,25.75,58.25,16.0,19.25,3.9200000000000017
24,10.0,772.0,52.5,52.5,5.0,10.076666666666666,41.25,-96.01,336.0,89.96,4.0,169.82,0.0,28.46,-362.42,37.73,19.0,1352.0,67.75,27.25,25.75,58.25,16.0,19.25,4.5933333333333355
25,14.5,138.0,0.15,0.15,6.433333333333334,606.0,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,-316.0
26,14.5,138.0,0.4,0.4,6.433333333333334,96.6,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,-6.5
27,14.5,138.0,0.75,0.75,6.433333333333334,209.0,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,54.0
28,14.5,138.0,1.5,1.5,6.433333333333334,34.3,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,104.7
29,14.5,138.0,2.5,2.5,6.433333333333334,13.6,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,63.99999999999999
30,14.5,138.0,3.5,3.5,6.433333333333334,6.3,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,6.7
31,14.5,138.0,4.5,4.5,6.433333333333334,10.4,-37.62,175.92,55.0,89.97,5.0,65.56,0.0,29.83,-10.67,67.66,104.0,1061.5,55.5,24.5,26.0,32.75,41.25,51.0,26.1
