ID;Latitud;Longitud;Elevation;Slope;SLOPECLASS;Aspect;Hillshade;Rougness;CWD;PT10;avg percipitation;Prec_Jan;bd_avg;ph_avg;cat_avg;clay_avg;slit_avg;sand_avg;gridsoc_g_kg_avg;grid_soc_t_ha_avg;BD_1;BD_2;BD_3;BD_4;pH_1;pH_2;pH_3;pH_4;CAT_1;CAT_2;CAT_3;CAT_4;clay_1;clay_2;clay_3;clay_4;Silt_1;Silt_2;Silt_3;Silt_4;Sand_1;Sand_2;Sand_3;Sand_4;CVOL_1;CVOL_2;CVOL_3;WatCap_1;WatCap_2;WatCap_3;WatCap_4;WCat1h_1;WCat1h_2;WCat1h_3;WCat1h_4;WCat2h_1;WCat2h_2;WCat2h_3;WCat2h_4;WCat3h_1;WCat3h_2;WCat3h_3;WCat3h_4;SatWat_1;SatWat_2;SatWat_3;SatWat_4;GRIDSOC_gKg_1;GRIDSOC_gKg_2;GRIDSOC_gKg_3;GRIDSOC_gKg_4;GRIDSOC_gKg_5;GRIDSOC_gKg_6;GRIDSOC_gKg_7;GRIDSOC_tonha_1;GRIDSOC_tonha_2;GRIDSOC_tonha_3;GRIDSOC_tonha_4;GRIDSOC_tonha_5;GRIDSOC_tonha_6;GRIDSOC_tonha_200to250;GRIDSOC_tonha_100to250;GRIDSOC_tonha_30to250;GRIDSOC_gm3_1;GRIDSOC_gm3_2;GRIDSOC_gm3_3;GRIDSOC_gm3_4;GRIDSOC_gm3_5;GRIDSOC_gm3_6;GRIDSOC_gm3_7;Ecoregion;Prec_Dec;Prec_Nov;Prec_Oct;Prec_Sept;Prec_Aug;Prec_July;Prec_June;Prec_May;Prec_April;Prec_March;Prec_Febr
1.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
2.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
3.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
4.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
5.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
6.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
7.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
8.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
9.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
10.00;-21.35;-47.07;622.00;90.00;3.00;329.53;158.33;33.97;-320.33;45.65;261.00;261.00;1347.50;52.00;11.00;35.50;19.50;45.00;16.50;26.50;1400.00;1295.00;NA;1433.00;52.00;52.00;52.00;52.00;13.00;12.00;10.00;9.00;34.00;34.00;35.00;39.00;20.00;19.00;20.00;19.00;46.00;47.00;45.00;42.00;0.00;0.00;1.00;22.00;22.00;22.00;23.00;12.00;14.00;13.00;11.00;9.00;10.00;10.00;9.00;7.00;8.00;8.00;7.00;43.00;46.00;44.00;42.00;12.00;23.00;19.00;12.00;9.00;6.00;5.00;11.00;26.00;30.00;39.00;37.00;69.00;213.00;144.00;67.00;177.00;244.00;232.00;141.00;86.00;68.00;48.00;Tropical moist deciduous forest;242.00;177.00;131.00;50.00;18.00;18.00;30.00;46.00;63.00;174.00;210.00
